Bo_Age,Ln_Orig,Orig_LTV_Ratio_Pct,Credit_score,First_home,Tot_mthly_debt_exp,Tot_mthly_incm,orig_apprd_val_amt,pur_prc_amt,DTI Ratio,Status,OUTCOME,State,Median_state_inc,UPB>Appraisal
37,75650,85,669,N,1707,6000,169000,160000,0.2845,Active,non-default,FL,"40,171",0
46,390775,102,684,N,0,5025,310000,309000,0,Pay-off,non-default,NY,"44,228",1
30,112500,90,662,Y,1812,4800,177000,176450,0.3775,Pay-off,non-default,CA,"49,894",0
24,85250,97,647,N,3395,6934,113000,110000,0.489616,Pay-off,non-default,GA,"43,217",0
35,114000,100,791,N,3801,5504,103000,103000,0.690589,Pay-off,non-default,NH,"57,352",1
38,207200,80,607,N,4288,12100,230000,230000,0.35438,Active,non-default,FL,"40,171",0
26,193000,100,636,N,948,2463,72747,72747,0.384896,Pay-off,non-default,MO,"43,988",1
39,220500,90,684,Y,832,1144,90000,87650,0.727273,Pay-off,non-default,FL,"40,171",1
41,79800,95,710,N,1705,4474,219000,219000,0.381091,Pay-off,non-default,CA,"49,894",0
22,109100,97,631,N,1907,7000,119000,118801,0.272429,Pay-off,non-default,MI,"44,476",0
32,179000,100,686,Y,3464,5025,310000,300500,0.689397,Active,non-default,NY,"44,228",0
21,116850,95,660,N,3806,5700,174000,172420,0.667719,Active,non-default,TX,"41,275",0
31,257000,99,718,Y,650,1820,80000,79000,0.357143,Active,non-default,PA,"44,286",1
34,223200,90,649,N,1174,3069,99000,98000,0.382535,Active,non-default,TX,"41,275",1
37,184000,80,722,Y,3838,9823,300775,300775,0.390716,Pay-off,non-default,CA,"49,894",0
37,260000,100,596,Y,1399,3936,75000,69500,0.355437,Active,non-default,FL,"40,171",1
63,260775,95,695,N,721,2215,115500,115103,0.325508,Active,non-default,GA,"43,217",1
37,209800,95,736,N,1286,2085,100000,98000,0.616787,Active,non-default,WA,"48,688",1
41,139900,100,673,Y,1582,4333,114000,113500,0.365105,Pay-off,non-default,FL,"40,171",1
35,319623,102,568,Y,547,1580,59000,56350,0.346203,Active,non-default,NE,"44,623",1
37,90630,97,530,Y,1959,3207,119000,118000,0.610851,Active,non-default,FL,"40,171",0
30,256500,95,652,Y,0,5025,146000,161000,0,Active,non-default,NJ,"56,772",1
29,99500,100,650,N,1264,5000,95000,84000,0.2528,Pay-off,non-default,IA,"43,042",1
23,204900,100,555,N,2428,6517,147500,144900,0.372564,Pay-off,non-default,NH,"57,352",1
24,66930,97,623,N,2199,7280,197000,192990,0.30206,Active,non-default,FL,"40,171",0
39,68400,90,677,N,2190,7092,195000,194000,0.308799,Active,non-default,IN,"43,003",0
25,141450,95,616,N,1198,4816,164000,159500,0.248754,Active,non-default,GA,"43,217",0
30,148700,98,648,N,1099,5025,162000,160000,0.21872,Pay-off,non-default,MI,"44,476",0
27,107590,102,764,N,2427,5637,281000,280348,0.430548,Pay-off,non-default,FL,"40,171",0
78,141744,60,594,Y,1287,2279,117000,114900,0.564721,Active,non-default,GA,"43,217",1
32,82350,90,721,Y,1289,5638,132000,125785,0.228627,Active,non-default,TX,"41,275",0
40,281400,90,692,N,1893,3062,151500,150000,0.618223,Active,non-default,ID,"42,519",1
59,167200,95,713,N,1327,3032,108000,108000,0.437665,Active,non-default,WI,"47,220",1
33,201000,99,714,N,741,3800,72500,72500,0.195,Active,non-default,TX,"41,275",1
27,171000,100,669,N,924,3201,134500,134450,0.28866,Active,non-default,TX,"41,275",1
24,200000,80,553,Y,461,1820,68000,67500,0.253297,Active,non-default,FL,"40,171",1
29,169600,80,742,N,3900,5025,260000,255000,0.776168,Pay-off,non-default,NY,"44,228",0
37,106000,100,540,Y,2134,4924,110000,108379,0.433387,Active,non-default,GA,"43,217",0
59,74100,95,782,N,1927,7823,190000,190000,0.246325,Active,non-default,OH,"44,160",0
29,308750,95,729,N,977,1408,112000,107500,0.693892,Pay-off,non-default,FL,"40,171",1
37,112000,93,667,Y,2746,5833,265000,265000,0.47077,Pay-off,non-default,FL,"40,171",0
37,270000,75,769,N,3210,9589,378000,363000,0.334759,Active,non-default,CT,"55,970",0
30,164937,102,660,Y,557,2145,106000,83760,0.259674,Active,non-default,NC,"39,000",1
42,215650,95,684,N,717,1432,65000,58000,0.500698,Active,non-default,GA,"43,217",1
37,185250,95,628,N,1114,3269,117000,115000,0.340777,Active,non-default,NJ,"56,772",1
37,205600,80,778,N,1072,3458,140000,139050,0.310006,Active,non-default,PA,"44,286",1
24,119000,100,682,N,2461,6766,113400,113400,0.36373,Active,non-default,AR,"33,948",1
37,174250,85,552,Y,2178,5416,177000,171000,0.402142,Pay-off,non-default,FL,"40,171",0
56,202500,90,735,N,0,5025,89000,88000,0,Active,non-default,AZ,"42,590",1
31,167720,100,502,Y,1099,2946,79500,79205,0.373048,Active,non-default,TX,"41,275",1
25,156000,100,631,N,0,6424,270000,265990,0,Pay-off,non-default,CA,"49,894",0
42,266769,90,746,N,735,864,65000,65000,0.850694,Pay-off,non-default,FL,"40,171",1
37,211500,90,631,N,1586,2839,175000,162800,0.558647,Active,non-default,GA,"43,217",1
30,193000,97,625,N,774,5025,139000,122000,0.15404,Pay-off,non-default,WI,"47,220",1
29,185770,95,698,Y,870,2902,83000,72700,0.299793,Active,non-default,IL,"45,787",1
42,247500,90,656,N,2735,11604,450000,423000,0.235695,Pay-off,non-default,CA,"49,894",0
61,124200,90,596,N,2379,10000,203000,190000,0.2379,Active,non-default,GA,"43,217",0
46,110000,100,563,Y,1296,2189,123000,123000,0.592051,Active,non-default,FL,"40,171",0
40,116600,100,771,N,1341,5820,210000,210000,0.230412,Active,non-default,TN,"38,550",0
29,129900,100,627,N,2258,3694,204000,201900,0.611262,Pay-off,non-default,GA,"43,217",0
45,118316,80,734,Y,281,1622,51000,45580,0.173243,Active,non-default,SC,"39,326",1
39,162298,102,687,N,1249,2271,76000,75000,0.549978,Pay-off,non-default,FL,"40,171",1
38,65000,87,677,Y,1462,4539,157000,157000,0.322097,Pay-off,non-default,WA,"48,688",0
32,99392,95,652,Y,1470,2344,108000,101000,0.627133,Pay-off,non-default,TX,"41,275",0
29,142000,95,578,N,2812,4383,254000,253332,0.64157,Active,non-default,GA,"43,217",0
37,158000,100,678,N,3559,6520,240000,223000,0.545859,Pay-off,non-default,IL,"45,787",0
37,289750,95,783,Y,1554,2633,142000,139900,0.590201,Active,non-default,FL,"40,171",1
37,84500,100,750,N,2338,6013,86500,86500,0.388824,Pay-off,non-default,AL,"38,111",0
27,135700,97,595,Y,2422,4936,219000,219000,0.490681,Active,non-default,IL,"45,787",0
42,224401,90,624,N,1348,5025,150000,150000,0.268276,Default,default,MI,"44,476",1
31,274000,100,781,N,1242,4916,70000,70000,0.252644,Active,non-default,NC,"39,000",1
34,131600,80,640,N,2337,6000,185000,175000,0.3895,Pay-off,non-default,MD,"56,763",0
27,87000,100,777,N,1271,4948,140000,139500,0.256871,Active,non-default,OH,"44,160",0
37,246324,80,689,N,395,1581,31000,28000,0.249842,Pay-off,non-default,PA,"44,286",1
37,156000,80,687,Y,1302,2685,168000,166112,0.484916,Pay-off,non-default,AZ,"42,590",0
37,220160,95,783,N,3585,8796,295000,295000,0.407572,Pay-off,non-default,HI,"53,123",0
21,60000,98,685,N,1444,6800,165000,165000,0.212353,Pay-off,non-default,CA,"49,894",0
